mutant_id,model_id,family,P00_canonical,P02_weak_step,P04_step_2x,P05_long_step,P06_ramp,P07_hyperpolarizing_step,P08_rebound,P09_short_pulse,P03_rheobase
m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,reference,1,0,1,1,1,0,0,0,0
m-scale_conductance-c01f990b60,traub2005_testseg2,biophysical,0,0,1,1,1,0,0,0,1
m-scale_conductance-c9ac5a125c,traub2005_testseg2,biophysical,1,1,1,1,1,1,0,1,1
m-scale_conductance-497367c6cf,traub2005_testseg2,biophysical,1,1,1,1,1,1,0,1,1
m-shift_reversal-430bfde1a2,traub2005_testseg2,biophysical,1,0,1,1,0,0,0,0,0
m-shift_reversal-b83835eb79,traub2005_testseg2,biophysical,1,1,1,1,1,0,0,1,1
m-scale_capacitance-6684c04454,traub2005_testseg2,biophysical,1,0,1,1,0,0,0,1,0
m-scale_capacitance-5e0e94a820,traub2005_testseg2,biophysical,1,0,1,1,1,0,0,1,0
m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,kinetics,1,1,1,1,1,1,0,1,1
m-shift_gate_midpoint-0bf496636d,traub2005_testseg2,kinetics,1,0,1,1,1,0,0,0,0
m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,kinetics,0,1,1,1,1,1,0,0,1
m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,kinetics,1,0,1,1,0,0,0,0,0
m-wrong_compatible_component-7dbfe39fa1,traub2005_testseg2,reference,1,1,1,1,1,0,0,0,1
m-scale_conductance-9356a476a5,traub2005_testseg_all,biophysical,1,0,1,1,0,0,0,0,0
m-shift_reversal-218fcb2b5b,traub2005_testseg_all,biophysical,1,0,0,0,0,0,0,0,0
m-shift_reversal-293fd11ac3,traub2005_testseg_all,biophysical,1,0,0,1,0,0,0,0,0
m-shift_reversal-30561b52ef,traub2005_testseg_all,biophysical,1,0,1,1,1,0,0,0,1
m-scale_capacitance-8d53b9976a,traub2005_testseg_all,biophysical,1,0,1,1,1,0,0,1,0
m-scale_capacitance-8f1d58bf3d,traub2005_testseg_all,biophysical,1,0,1,1,1,0,0,1,0
m-scale_gate_time_constant-38f0aa9f71,traub2005_testseg_all,biophysical,1,0,1,1,1,0,0,1,0
m-shift_gate_midpoint-484712e890,traub2005_testseg_all,kinetics,1,0,0,0,0,0,0,0,0
m-shift_gate_midpoint-19e30fa1d3,traub2005_testseg_all,kinetics,1,0,1,1,1,0,0,0,1
m-shift_forward_rate_midpoint-3567e7da5d,traub2005_testseg_all,kinetics,1,1,1,1,1,0,0,0,1
m-wrong_channel-9f2bfc0fc0,traub2005_testseg_all,reference,1,1,1,1,1,1,1,0,1
m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,reference,1,0,1,1,1,0,0,0,1
m-scale_conductance-f6b1c4d132,smith2013_singlecomp,biophysical,0,1,1,1,1,1,0,0,1
m-scale_conductance-b727c671be,smith2013_singlecomp,biophysical,1,0,1,1,1,0,0,1,1
m-scale_conductance-3136c4d394,smith2013_singlecomp,biophysical,1,1,1,1,1,1,0,0,1
m-shift_reversal-018c346f67,smith2013_singlecomp,biophysical,0,0,1,1,1,0,0,0,1
m-shift_reversal-f753277a7b,smith2013_singlecomp,biophysical,1,0,1,1,1,0,0,1,1
m-scale_capacitance-8e96c2f6e1,smith2013_singlecomp,biophysical,1,0,1,1,1,0,0,1,0
m-scale_capacitance-35f5f6af53,smith2013_singlecomp,biophysical,1,0,1,1,1,0,0,1,1
m-scale_gate_time_constant-97ff619aea,smith2013_singlecomp,biophysical,0,0,0,0,1,0,0,0,1
m-shift_gate_midpoint-7f017f2908,smith2013_singlecomp,kinetics,0,0,1,1,1,0,0,0,1
m-shift_gate_midpoint-5b359c9cfa,smith2013_singlecomp,kinetics,1,0,0,0,1,0,0,0,1
m-scale_gate_slope-bf21f6d7f4,smith2013_singlecomp,kinetics,1,1,1,1,1,0,0,0,1
m-shift_forward_rate_midpoint-8400d317d9,smith2013_singlecomp,kinetics,1,1,1,1,1,0,0,1,1
m-wrong_channel-53cff9ab34,smith2013_singlecomp,reference,1,1,1,1,1,1,0,1,1
m-wrong_compatible_component-043c9dac83,smith2013_singlecomp,reference,1,1,1,1,1,0,0,0,1
m-scale_conductance-c2b2371643,migliore2005_ca1_soma,biophysical,0,0,1,1,1,0,0,0,0
m-scale_conductance-62b5add646,migliore2005_ca1_soma,biophysical,0,0,1,1,1,0,0,0,1
m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,biophysical,1,1,1,1,1,1,1,1,1
m-scale_conductance-5fc9665994,migliore2005_ca1_soma,biophysical,1,1,1,1,1,1,0,1,1
m-shift_reversal-71f7c0a79f,migliore2005_ca1_soma,biophysical,1,1,1,1,1,0,0,0,1
m-shift_reversal-3bb1e8b827,migliore2005_ca1_soma,biophysical,1,0,0,1,1,0,0,0,0
m-shift_reversal-3e2c677748,migliore2005_ca1_soma,biophysical,1,1,1,1,1,1,0,1,1
m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,biophysical,1,0,1,1,1,0,0,1,1
m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,biophysical,1,0,1,1,1,0,0,1,0
m-scale_capacitance-89741c983b,migliore2005_ca1_soma,biophysical,1,0,1,1,1,0,0,1,0
m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,biophysical,1,0,1,1,0,0,0,0,0
m-shift_gate_midpoint-81196088fb,migliore2005_ca1_soma,kinetics,1,1,1,1,1,1,1,1,1
m-shift_gate_midpoint-f1b7d12414,migliore2005_ca1_soma,kinetics,1,1,1,1,1,0,0,1,1
m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,kinetics,1,0,1,1,1,0,0,1,1
m-shift_forward_rate_midpoint-8e309ecd33,migliore2005_ca1_soma,kinetics,0,0,1,1,1,0,0,0,1
m-wrong_channel-5a74a3ef79,migliore2005_ca1_soma,reference,1,1,1,1,1,1,0,1,1
m-duplicate_conductance-f1055b2803,migliore2005_ca1_soma,reference,1,0,1,1,1,0,0,1,1
