model_id,protocol_id,feature,kind,f_h,f_h2,f_h4,state_h,state_h2,abs_floor,rel_term,refine_term,tau,limiting,note
pospischil2008_lts,P09_short_pulse,ahp_depth,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P09_short_pulse,ap_amplitude,numeric,,,,not_applicable,not_applicable,1.0,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P09_short_pulse,ap_half_width,numeric,,,,not_applicable,not_applicable,0.05,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P09_short_pulse,first_spike_latency,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P09_short_pulse,spike_count,count,0.0,0.0,0.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_lts,P10_paired_pulses,ap_amplitude,numeric,,,,not_applicable,not_applicable,1.0,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P10_paired_pulses,first_isi,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P10_paired_pulses,first_spike_latency,numeric,,,,not_applicable,not_applicable,0.5,0.0,0.0,inf,both_undefined,
pospischil2008_lts,P10_paired_pulses,spike_count,count,0.0,0.0,0.0,defined,defined,0.5,0.0,0.0,0.5,abs_floor,
pospischil2008_rs,P00_canonical,adaptation_index,numeric,0.2988218828985024,0.2989579287624928,0.29897507423197267,defined,defined,0.01,0.029882188289850245,0.00040813759197105837,0.029882188289850245,relative,
pospischil2008_rs,P00_canonical,ahp_depth,numeric,2.861194747922525,2.9394112752346615,2.978420361836754,defined,defined,0.5,0.14305973739612626,0.2346495819364094,0.5,abs_floor,
pospischil2008_rs,P00_canonical,ap_amplitude,numeric,88.85420990112726,88.78027725318925,88.85550689834986,defined,defined,1.0,1.7770841980225454,0.22179794381402473,1.7770841980225454,relative,
pospischil2008_rs,P00_canonical,ap_half_width,numeric,0.6999999999993634,0.6999999999993634,0.6999999999993634,defined,defined,0.05,0.03499999999996817,0.0,0.05,abs_floor,
