variant_id,model_id,kind,family,operator,params,class,admissible,structural_valid,libneuroml_strict,status_h,n_detections_h,n_detections_h2,canonical_detected_h,canonical_detected_reproducible,detecting_protocols,canonical_runs_but_battery_failed,runtime_s
m-shift_reversal-5c87169260,pospischil2008_lts,mutant,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""-95.0 mV"", ""old"": ""-100.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""shift_mV"": 5.0}",5_non_equivalent,True,True,False,ok,12,12,True,True,P00_canonical;P04_step_2x;P05_long_step,False,2076.718
m-scale_capacitance-ee6df9013d,pospischil2008_lts,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""1.1 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 1.1, ""generator_seed"": 20260913}",5_non_equivalent,True,True,False,ok,9,10,True,True,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step,False,2198.606
m-scale_capacitance-64ced10e8f,pospischil2008_lts,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""2.0 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 2.0, ""generator_seed"": 20260913}",5_non_equivalent,True,True,False,ok,28,28,True,True,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P07_hyperpolarizing_step;P08_rebound,False,2074.366
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,mutant,biophysical,scale_gate_time_constant,"{""channel"": ""Na"", ""factor"": 2.0, ""gate"": ""m"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",5_non_equivalent,True,True,False,ok,5,5,True,True,P00_canonical,False,2132.2
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,mutant,biophysical,scale_gate_time_constant,"{""channel"": ""IM"", ""factor"": 1.25, ""gate"": ""p"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",5_non_equivalent,True,True,False,ok,3,3,True,True,P00_canonical,False,2145.869
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,mutant,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-89.0 mV"", ""old"": ""-84.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": -5.0}",5_non_equivalent,True,True,False,ok,4,4,True,True,P00_canonical;P03_rheobase;P05_long_step,False,2121.144
m-shift_initial_voltage-6b902307a8,pospischil2008_lts,mutant,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-82.0 mV"", ""old"": ""-84.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": 2.0}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,658.909
m-wrong_segment_group-feb11f7645,pospischil2008_lts,mutant,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""Soma"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_group"": ""Soma""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,698.516
m-wrong_segment_group-69f2f09ffc,pospischil2008_lts,mutant,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""soma_group"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_group"": ""soma_group""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,741.267
m-increase_dt-12296e231e,pospischil2008_lts,mutant,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.004ms"", ""old"": ""0.001ms""}], ""factor"": 4, ""generator_seed"": 20260913}",6_silent_under_canonical,True,True,False,ok,4,2,True,False,P04_step_2x;P05_long_step,False,557.565
m-increase_dt-26c6d170d7,pospischil2008_lts,mutant,numerical,increase_dt,"{""changes"": [{""attribute"": ""step"", ""locator"": ""/Lems[1]/Component[@id='sim1']"", ""new"": ""0.01ms"", ""old"": ""0.001ms""}], ""factor"": 10, ""generator_seed"": 20260913}",5_non_equivalent,True,True,False,ok,7,6,True,True,P00_canonical;P04_step_2x;P05_long_step,False,271.13
m-solver_config-05a4d042ce,pospischil2008_lts,mutant,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""rk4""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,685.714
m-solver_config-f0ab9d8f86,pospischil2008_lts,mutant,numerical,solver_config,"{""generator_seed"": 20260913, ""mechanism"": ""insert_meta"", ""method"": ""eulertree""}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,721.771
m-recording_resolution-7d86fbc601,pospischil2008_lts,mutant,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.05}",4_equivalent_within_tested_domain,False,True,False,ok,0,,False,False,,False,704.892
m-recording_resolution-46bcb819ee,pospischil2008_lts,mutant,numerical,recording_resolution,"{""generator_seed"": 20260913, ""sample_every_ms"": 0.25}",5_non_equivalent,True,True,False,ok,2,2,True,True,P00_canonical,False,1598.175
m-wrong_channel-091a20b452,pospischil2008_lts,mutant,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""new"": ""Kd"", ""old"": ""LeakConductance""}], ""element_id"": ""LeakConductance_all"", ""generator_seed"": 20260913, ""new_species"": ""k"", ""old_species"": ""non_specific""}",5_non_equivalent,True,True,False,ok,53,53,True,True,P00_canonical;P01_baseline;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P08_rebound;P09_short_pulse;P10_paired_pulses,False,1665.31
m-wrong_channel-b78286d788,pospischil2008_lts,mutant,reference,wrong_channel,"{""changes"": [{""attribute"": ""ionChannel"", ""locator"": ""/neuroml[@id='LTS']/cell[@id='LTS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""Na"", ""old"": ""Kd""}], ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_species"": ""na"", ""old_species"": ""k""}",2_non_executable,False,True,False,build_error,0,,False,False,,False,704.233
m-omit_include-0307bc9abe,pospischil2008_lts,mutant,reference,omit_include,"{""generator_seed"": 20260913, ""href"": ""../../channels/IT/IT.channel.nml"", ""removed"": ""<include xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" href=\""../../channels/IT/IT.channel.nml\""/>""}",1_structurally_invalid,False,False,True,not_run,0,,False,False,,False,0.0
