variant_id,model_id,kind,operator,family,tolerance_multiplier,class
acnet2_pyr_soma__factor_file__000,acnet2_pyr_soma,valid_transform,factor_file,factoring,4.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__reorder_independent__000,acnet2_pyr_soma,valid_transform,reorder_independent,reordering,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__reorder_independent__000,acnet2_pyr_soma,valid_transform,reorder_independent,reordering,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__reorder_independent__000,acnet2_pyr_soma,valid_transform,reorder_independent,reordering,2.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__reorder_independent__000,acnet2_pyr_soma,valid_transform,reorder_independent,reordering,4.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__explicit_default__000,acnet2_pyr_soma,valid_transform,explicit_default,explicit_default,0.5,4_equivalent_within_tested_domain
acnet2_pyr_soma__explicit_default__000,acnet2_pyr_soma,valid_transform,explicit_default,explicit_default,1.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__explicit_default__000,acnet2_pyr_soma,valid_transform,explicit_default,explicit_default,2.0,4_equivalent_within_tested_domain
acnet2_pyr_soma__explicit_default__000,acnet2_pyr_soma,valid_transform,explicit_default,explicit_default,4.0,4_equivalent_within_tested_domain
m-scale_conductance-0fd04dc708,migliore2014_mt_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-0fd04dc708,migliore2014_mt_soma,mutant,scale_conductance,biophysical,1.0,6_silent_under_canonical
m-scale_conductance-0fd04dc708,migliore2014_mt_soma,mutant,scale_conductance,biophysical,2.0,4_equivalent_within_tested_domain
m-scale_conductance-0fd04dc708,migliore2014_mt_soma,mutant,scale_conductance,biophysical,4.0,4_equivalent_within_tested_domain
m-scale_conductance-a9d05675ab,migliore2014_mt_soma,mutant,scale_conductance,biophysical,0.5,6_silent_under_canonical
m-scale_conductance-a9d05675ab,migliore2014_mt_soma,mutant,scale_conductance,biophysical,1.0,6_silent_under_canonical
m-scale_conductance-a9d05675ab,migliore2014_mt_soma,mutant,scale_conductance,biophysical,2.0,6_silent_under_canonical
m-scale_conductance-a9d05675ab,migliore2014_mt_soma,mutant,scale_conductance,biophysical,4.0,6_silent_under_canonical
m-scale_conductance-fd3b7c7dcc,migliore2014_mt_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-fd3b7c7dcc,migliore2014_mt_soma,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-fd3b7c7dcc,migliore2014_mt_soma,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-fd3b7c7dcc,migliore2014_mt_soma,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-scale_conductance-de26f4d2e1,migliore2014_mt_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-de26f4d2e1,migliore2014_mt_soma,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-de26f4d2e1,migliore2014_mt_soma,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-de26f4d2e1,migliore2014_mt_soma,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-shift_reversal-7be708c601,migliore2014_mt_soma,mutant,shift_reversal,biophysical,0.5,6_silent_under_canonical
m-shift_reversal-7be708c601,migliore2014_mt_soma,mutant,shift_reversal,biophysical,1.0,4_equivalent_within_tested_domain
m-shift_reversal-7be708c601,migliore2014_mt_soma,mutant,shift_reversal,biophysical,2.0,4_equivalent_within_tested_domain
m-shift_reversal-7be708c601,migliore2014_mt_soma,mutant,shift_reversal,biophysical,4.0,4_equivalent_within_tested_domain
m-shift_reversal-d4460926dc,migliore2014_mt_soma,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-d4460926dc,migliore2014_mt_soma,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-d4460926dc,migliore2014_mt_soma,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-d4460926dc,migliore2014_mt_soma,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-shift_reversal-3bffbb8e9b,migliore2014_mt_soma,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-3bffbb8e9b,migliore2014_mt_soma,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-3bffbb8e9b,migliore2014_mt_soma,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-3bffbb8e9b,migliore2014_mt_soma,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-shift_reversal-9acb9774d9,migliore2014_mt_soma,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
