variant_id,model_id,kind,operator,family,tolerance_multiplier,class
pospischil2008_rs__numeric_literal_format__000,pospischil2008_rs,valid_transform,numeric_literal_format,literal_format,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__numeric_literal_format__000,pospischil2008_rs,valid_transform,numeric_literal_format,literal_format,2.0,4_equivalent_within_tested_domain
pospischil2008_rs__numeric_literal_format__000,pospischil2008_rs,valid_transform,numeric_literal_format,literal_format,4.0,4_equivalent_within_tested_domain
pospischil2008_rs__rename_identifier__000,pospischil2008_rs,valid_transform,rename_identifier,renaming,0.5,4_equivalent_within_tested_domain
pospischil2008_rs__rename_identifier__000,pospischil2008_rs,valid_transform,rename_identifier,renaming,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__rename_identifier__000,pospischil2008_rs,valid_transform,rename_identifier,renaming,2.0,4_equivalent_within_tested_domain
pospischil2008_rs__rename_identifier__000,pospischil2008_rs,valid_transform,rename_identifier,renaming,4.0,4_equivalent_within_tested_domain
pospischil2008_rs__factor_file__000,pospischil2008_rs,valid_transform,factor_file,factoring,0.5,4_equivalent_within_tested_domain
pospischil2008_rs__factor_file__000,pospischil2008_rs,valid_transform,factor_file,factoring,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__factor_file__000,pospischil2008_rs,valid_transform,factor_file,factoring,2.0,4_equivalent_within_tested_domain
pospischil2008_rs__factor_file__000,pospischil2008_rs,valid_transform,factor_file,factoring,4.0,4_equivalent_within_tested_domain
pospischil2008_rs__reorder_independent__000,pospischil2008_rs,valid_transform,reorder_independent,reordering,0.5,4_equivalent_within_tested_domain
pospischil2008_rs__reorder_independent__000,pospischil2008_rs,valid_transform,reorder_independent,reordering,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__reorder_independent__000,pospischil2008_rs,valid_transform,reorder_independent,reordering,2.0,4_equivalent_within_tested_domain
pospischil2008_rs__reorder_independent__000,pospischil2008_rs,valid_transform,reorder_independent,reordering,4.0,4_equivalent_within_tested_domain
pospischil2008_rs__explicit_default__000,pospischil2008_rs,valid_transform,explicit_default,explicit_default,0.5,4_equivalent_within_tested_domain
pospischil2008_rs__explicit_default__000,pospischil2008_rs,valid_transform,explicit_default,explicit_default,1.0,4_equivalent_within_tested_domain
pospischil2008_rs__explicit_default__000,pospischil2008_rs,valid_transform,explicit_default,explicit_default,2.0,4_equivalent_within_tested_domain
