mutant_id,model_id,family,protocol_id,detected
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P09_short_pulse,True
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P10_paired_pulses,False
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,P03_rheobase,False
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P00_canonical,True
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P01_baseline,False
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P02_weak_step,False
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P04_step_2x,True
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P05_long_step,True
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P06_ramp,True
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P07_hyperpolarizing_step,False
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P08_rebound,False
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P09_short_pulse,True
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P10_paired_pulses,False
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,P03_rheobase,False
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P00_canonical,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P01_baseline,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P02_weak_step,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P04_step_2x,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P05_long_step,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P06_ramp,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P07_hyperpolarizing_step,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P08_rebound,False
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P09_short_pulse,True
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P10_paired_pulses,False
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,P03_rheobase,True
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P00_canonical,True
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P01_baseline,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P02_weak_step,False
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,P04_step_2x,False
