mutant_id,model_id,family,P00_canonical,P02_weak_step,P04_step_2x,P05_long_step,P06_ramp,P07_hyperpolarizing_step,P08_rebound,P09_short_pulse,P03_rheobase
m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,kinetics,1,1,1,1,0,1,1,1,1
m-shift_gate_midpoint-6ea0967285,nml2_hh_example,kinetics,1,1,1,1,1,1,1,1,1
m-scale_gate_slope-6f355edc68,nml2_hh_example,kinetics,1,1,1,1,1,1,1,1,1
m-shift_forward_rate_midpoint-c7610b4176,nml2_hh_example,kinetics,1,0,1,1,0,0,0,0,1
m-duplicate_conductance-ce59b87707,nml2_hh_example,reference,1,1,1,1,1,1,1,1,1
m-scale_conductance-d67ea70a4a,osb_hh2_477127614,biophysical,0,0,0,1,0,0,0,0,0
m-scale_conductance-61ece641cf,osb_hh2_477127614,biophysical,1,0,1,1,1,0,0,0,1
m-scale_conductance-979dd75955,osb_hh2_477127614,biophysical,1,1,1,1,1,1,0,0,1
m-scale_conductance-1f40a5f389,osb_hh2_477127614,biophysical,1,1,1,1,1,1,0,0,1
m-shift_reversal-c7e1f18cfe,osb_hh2_477127614,biophysical,0,0,1,1,0,0,0,0,0
m-shift_reversal-d2ca2a5c38,osb_hh2_477127614,biophysical,1,1,1,1,1,1,0,0,1
m-scale_capacitance-8ea1c6d58b,osb_hh2_477127614,biophysical,1,0,1,1,1,0,0,0,0
m-scale_capacitance-d886e6ca3e,osb_hh2_477127614,biophysical,1,0,1,1,1,0,0,1,0
m-shift_channel_vshift-8dac96bdae,osb_hh2_477127614,kinetics,1,0,1,1,1,0,0,0,1
m-wrong_channel-105026e445,osb_hh2_477127614,reference,1,0,1,1,1,0,0,0,1
m-duplicate_conductance-06ea96d790,osb_hh2_477127614,reference,0,0,1,1,0,0,0,0,1
m-wrong_compatible_component-a12a6658b4,osb_hh2_477127614,reference,0,0,1,1,0,0,0,0,1
m-scale_conductance-8d921084f4,pospischil2008_fs,biophysical,1,0,1,1,1,0,0,0,1
m-scale_conductance-b734d01a94,pospischil2008_fs,biophysical,1,0,0,0,0,0,0,0,0
m-scale_conductance-10ff293ca8,pospischil2008_fs,biophysical,1,1,1,1,1,1,0,0,1
m-scale_conductance-2c1b980b1d,pospischil2008_fs,biophysical,1,0,1,1,1,0,0,1,0
m-shift_reversal-3d387f89f7,pospischil2008_fs,biophysical,1,0,1,1,0,0,0,1,0
m-shift_reversal-2ebe75d071,pospischil2008_fs,biophysical,1,0,0,0,1,0,0,0,0
m-shift_reversal-296104fa71,pospischil2008_fs,biophysical,1,1,1,1,1,1,0,1,1
m-shift_reversal-99c62df08a,pospischil2008_fs,biophysical,1,0,1,1,1,0,0,1,0
m-scale_capacitance-8945c94953,pospischil2008_fs,biophysical,1,0,1,1,1,0,0,1,0
m-scale_capacitance-5a8359e4e8,pospischil2008_fs,biophysical,1,0,1,1,1,0,0,1,0
m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,biophysical,1,0,0,1,1,0,0,1,0
m-scale_gate_time_constant-2e28d01edd,pospischil2008_fs,biophysical,1,0,1,1,1,0,0,1,0
m-duplicate_conductance-328cf062a2,pospischil2008_fs,reference,1,0,1,1,1,0,0,1,1
